9.994530935152347306e-02,2.417718310605721795e-15,-7.015210243550131786e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.994530935152347306e-02,-5.967007363145475363e-03,-5.528863092202397356e-01,1.743082596778972315e-01,1.743082596778972260e+00,-1.548605126736960803e-02
1.998971458752479280e-01,-6.727489993495376630e-02,-2.610664207318010022e-02,8.391902665114586712e-01,6.648820068335614231e+00,-3.612457221250086614e-01
3.998525742856401388e-01,-3.409925371972832853e-02,-9.436444010198775934e-02,1.489938507266809875e+00,6.507482407553511372e+00,-3.126552780527496744e-01
5.998732885750205357e-01,-1.068627343767538929e-01,-2.738583804977996472e-01,2.129615224020759978e+00,6.396767167539501031e+00,-5.231462361624128476e-01
7.999303257807307554e-01,-1.541596757198807066e-01,-1.897589686003305909e-01,2.745515940299962487e+00,6.159007162792025092e+00,-1.662233843473833184e-01
1.100033248612374726e+00,-2.130486098590899935e-01,2.877484219857661535e-02,2.774759570755899851e+00,2.924363045593736388e-01,2.159718794038978928e-01
1.400217418243194345e+00,-1.488607378145617444e-01,2.173959982635720878e-01,2.943770352847348004e+00,1.690107820914481529e+00,8.445264862660974980e-01
1.700500631847804867e+00,-8.241206242818913119e-02,2.233726104751899699e-01,3.115141016694477738e+00,1.713706638471297339e+00,4.168955737288025376e-01
2.000753927043680047e+00,-1.302775901156114600e-02,1.289035706595914044e-01,3.288647272200488025e+00,1.735062555060102873e+00,-4.220655894876854802e-02
2.400726684442712866e+00,1.584284073560720922e-03,4.092657314604675883e-02,3.486131753784324605e+00,1.974844815838365797e+00,-2.221384834138875053e-01
2.700280536735327530e+00,2.017819625586140739e-02,9.851352054921491685e-04,3.683506519277184310e+00,1.973747654928597051e+00,-5.511939708805833199e-02
3.099841793056008044e+00,-2.734338691984557982e-03,-3.974345478072843774e-02,3.877557543537462514e+00,1.940510242602782043e+00,-4.384349483648096674e-04
3.501112795610628492e+00,-1.523122764100532170e-02,3.420785059579167786e-02,4.068341172210404366e+00,1.907836286729418518e+00,1.659731700379033503e-01
3.905523593056118958e+00,1.573735330795093118e-02,6.883624601516702413e-02,4.252999827186645376e+00,1.846586549762410101e+00,2.027278285210999953e-01
